Date,Time,Team 1,Team 1 Score,Team 2 Score,Team 2,Result,Final Score,Team 1 Odds,Team 2 Odds,Bookies Count,Year,Page
26 Apr 2021,19:30,Punjab Kings,123,126,Kolkata Knight Riders,No spectators.,123/9 (20) : 126/5 (16.4),2.01,1.75,9,2021,2
25 Apr 2021,19:30,Sunrisers Hyderabad,159,159,Delhi Capitals,No spectators.,159/7 (20) : 159/4 (20),1.98,1.80,9,2021,2
24 Apr 2021,19:30,Rajasthan Royals,134,133,Kolkata Knight Riders,No spectators.,134/4 (18.5) : 133/9 (20),2.06,1.73,9,2021,2
23 Apr 2021,19:30,Punjab Kings,132,131,Mumbai Indians,No spectators.,132/1 (17.4) : 131/6 (20),2.27,1.58,9,2021,2
22 Apr 2021,19:30,Royal Challengers Bengaluru,181,177,Rajasthan Royals,No spectators.,181/0 (16.3) : 177/9 (20),1.60,2.26,9,2021,2
21 Apr 2021,19:30,Kolkata Knight Riders,202,220,Chennai Super Kings,No spectators.,202/10 (19.1) : 220/3 (20),1.81,1.94,9,2021,2
20 Apr 2021,19:30,Delhi Capitals,138,137,Mumbai Indians,No spectators.,138/4 (19.1) : 137/9 (20),2.17,1.65,9,2021,2
19 Apr 2021,19:30,Chennai Super Kings,188,143,Rajasthan Royals,No spectators.,188/9 (20) : 143/9 (20),1.86,1.90,9,2021,2
18 Apr 2021,19:30,Delhi Capitals,198,195,Punjab Kings,No spectators.,198/4 (18.2) : 195/4 (20),1.67,2.17,9,2021,2
29 May 2022 - Play Offs,20:00,Gujarat Titans,133,130,Rajasthan Royals,Gujarat Titans won by 7 wickets.,133/3 (18.1) : 130/9 (20),1.89,1.91,10,2022,1
27 May 2022 - Play Offs,19:30,Rajasthan Royals,161,157,Royal Challengers Bengaluru,Rajasthan Royals won by 7 wickets.,161/3 (18.1) : 157/8 (20),1.87,1.93,10,2022,1
25 May 2022 - Play Offs,19:30,Lucknow Super Giants,193,207,Royal Challengers Bengaluru,Bangalore won by 14 runs.,193/6 (20) : 207/4 (20),1.94,1.83,10,2022,1
24 May 2022 - Play Offs,19:30,Gujarat Titans,191,188,Rajasthan Royals,Gujarat Titans won by 7 wickets.,191/3 (19.3) : 188/6 (20),1.81,1.96,10,2022,1
22 May 2022,19:30,Sunrisers Hyderabad,157,160,Punjab Kings,Punjab Kings won by 5 wickets.,157/8 (20) : 160/5 (15.1),2.05,1.77,10,2022,1
21 May 2022,19:30,Mumbai Indians,160,159,Delhi Capitals,Mumbai Indians won by 5 wickets.,160/5 (19.1) : 159/7 (20),2.03,1.76,10,2022,1
20 May 2022,19:30,Rajasthan Royals,151,150,Chennai Super Kings,Rajasthan Royals won by 5 wickets.,151/5 (19.4) : 150/6 (20),1.70,2.15,10,2022,1
19 May 2022,19:30,Royal Challengers Bengaluru,170,168,Gujarat Titans,Bangalore won by 8 wickets.,170/2 (18.4) : 168/5 (20),1.80,2.00,10,2022,1
18 May 2022,19:30,Kolkata Knight Riders,208,210,Lucknow Super Giants,Lucknow Super Giants won by 2 runs.,208/8 (20) : 210/0 (20),1.96,1.83,10,2022,1
17 May 2022,19:30,Mumbai Indians,190,193,Sunrisers Hyderabad,Sunrisers Hyderabad won by 3 runs.,190/7 (20) : 193/6 (20),1.69,2.12,10,2022,1
16 May 2022,19:30,Punjab Kings,142,159,Delhi Capitals,Delhi Capitals won by 17 runs.,142/9 (20) : 159/7 (20),1.83,1.97,10,2022,1
15 May 2022,19:30,Lucknow Super Giants,154,178,Rajasthan Royals,Rajasthan Royals won by 24 runs.,154/8 (20) : 178/6 (20),1.80,1.99,10,2022,1
14 May 2022,19:30,Kolkata Knight Riders,177,123,Sunrisers Hyderabad,Kolkata Knight Riders won by 54 runs.,177/6 (20) : 123/8 (20),1.86,1.93,10,2022,1
13 May 2022,19:30,Royal Challengers Bengaluru,155,209,Punjab Kings,Punjab Kings won by 54 runs.,155/9 (20) : 209/9 (20),1.74,2.05,10,2022,1
12 May 2022,19:30,Chennai Super Kings,97,103,Mumbai Indians,Mumbai Indians won by 5 wickets.,97/10 (16) : 103/5 (14.5),1.86,1.91,10,2022,1
